,Title,Release.Date,Primary.Genre,Actors,acum_real
250,Oliver Twist,11/25/2005,Drama,"Barney Clark, Edward Hardwicke, Harry Eden, Jamie Foreman, Jeremy Swift, Leanne Rowe, Lewis Chase, Mark Strong, Richard Durden",4939605.0
251,Underworld: Evolution,03/03/2006,Action,"Bill Nighy, Kate Beckinsale, Michael Sheen, Scott Speedman",23917513.0
252,"Chiavi di Casa, Le",09/30/2005,Drama,"Andrea Rossi, Charlotte Rampling, Kim Rossi Stuart",528374.0
255,"Fog, The",02/03/2006,Horror,"Adrian Hough, Cole Heppell, DeRay Davis, Jonathan Young, Kenneth Welsh, Maggie Grace, Rade Serbedzija, Sara Botsford, Selma Blair, Tom Welling",39715516.0
256,åå¤« (Kung Fu Hustle),08/26/2005,Action,"Qiu Yuen, Stephen Chow, Yuen Wah",10738888.0
257,Layer Cake,09/02/2005,Action,"Colm Meaney, Daniel Craig, George Harris, Jamie Foreman, Jason Flemyng, Michael Gambon, Sienna Miller, Tamer Hassan, Tom Hardy",888525.0000000009
258,ë¹ì§ (bin-jip),04/07/2006,Drama,"Choi Jeong-ho, Jae Hee, Jo Jin-mo, Kwon Hyuk-ho, Lee Seung-yeon",1447449.0
259,"Beautiful Country, The",05/05/2006,Drama,"Bai Ling, Nick Nolte, Tim Roth",190860.0
260,Saving Face,02/17/2006,Comedy,"Joan Chen, Lynne Chen, Michelle Krusiec, Richard Chang",482763.000000001
261,Heights,11/11/2005,Drama,"Elizabeth Banks, Eric Bogosian, George Segal, Glenn Close, Isabella Rossellini, James Marsden, Jesse Bradford, Matthew Davis, Rufus Wainwright, Susan Malick",735430.0
262,Yes,01/13/2006,Drama,"Gary Lewis, Joan Allen, Samantha Bond, Sam Neill, Simon Abkarian, Stephanie Leonidas, Wil Johnson",605046.999999999
263,Over The Hedge,07/07/2006,Animation,"Allison Janney, Avril Lavigne, Bruce Willis, Catherine O'Hara, Eugene Levy, Garry Shandling, Nick Nolte, Shane Baumel, Steve Carell, Thomas Haden Church, Wanda Sykes, William Shatner",134896750.1
264,Flushed Away,12/15/2006,Animation,"Andy Serkis, Bill Nighy, Hugh Jackman, Ian McKellen, Jean Reno, Kate Winslet",71821787.0
265,Easy,02/09/2007,Comedy,"Brian F. O'Byrne, Caroline Goodall, D.B. Woodside, Emily Deschanel, John Rothman, Marguerite Moreau, Naveen Andrews",361916.999999999
267,"Skeleton Key, The",09/02/2005,Horror,"Fahnlohnee R. Harris, Gena Rowlands, Isaach De BankolÃ©, John Hurt, Joy Bryant, Kate Hudson, Marion Zinser, Maxine Barnett, Peter Sarsgaard",51711978.000000104
268,"40 Year-Old Virgin, The",09/30/2005,Comedy,"Catherine Keener, David Koechner, Jane Lynch, Jonah Hill, Kat Dennings, Leslie Mann, Paul Rudd, Romany Malco, Seth Rogen, Steve Carell",37482978.0
270,"Da Vinci Code, The",05/19/2006,Drama,"Alfred Molina, Audrey Tautou, Ian McKellen, Jean Reno, Paul Bettany, Tom Hanks",204279374.5
271,Memoirs Of A Geisha,02/03/2006,Drama,"Gong Li, Kaori Momoi, Kenneth Tsang, Ken Watanabe, Koji Yakusho, Michelle Yeoh, Youki Kudoh, Ziyi Zhang",42135005.0
274,ì¬ë§ë¦¬ì (samaria),05/13/2005,Drama,"Han Yeo-reum, John G. Young, Kwak Ji-min, Lee Oel, Seo Min-jung",1842803.00000003
279,Freedomland,04/13/2006,Drama,"Anthony Mackie, Aunjanue Ellis, Dorian Missick, Edie Falco, Julianne Moore, Ron Eldard, Samuel L. Jackson, William Forsythe",5758386.0
288,Tout Le Plaisir Est Pour Moi,09/29/2006,Comedy,"Julien Boisselier, Marie Gillain",1035351.0
290,Monster House,08/04/2006,Animation,"Catherine O'Hara, Fred Willard, Jason Lee, Jon Heder, Kathleen Turner, Kevin James, Maggie Gyllenhaal, Mitchel Musso, Nick Cannon, Sam Lerner, Spencer Locke, Steve Buscemi",77917041.0
294,Capote,03/03/2006,Drama,"Amy Ryan, Bob Balaban, Bruce Greenwood, Catherine Keener, Chris Cooper, Clifton Collins Jr., Philip Seymour Hoffman",4368660.99999999
296,North Country,02/03/2006,Drama,"Amber Heard, Charlize Theron, Frances McDormand, Jeremy Renner, Richard Jenkins, Sean Bean, Sissy Spacek, Woody Harrelson, Xander Berkeley",5504928.0
298,Aeon Flux,01/20/2006,Action,"Amelia Warner, Charlize Theron, Frances McDormand, Jonny Lee Miller, Marton Csokas, Sophie Okonedo",18547392.0
299,Last Holiday,03/10/2006,Comedy,"Alicia Witt, GÃ©rard Depardieu, Giancarlo Esposito, L.L. Cool J., Queen Latifah, Susan Kellerman, Timothy Hutton",9283521.99999998
300,Charlotte's Web,12/29/2006,Family,"Andre Benjamin, Cedric the Entertainer, Dakota Fanning, Julia Roberts, Kathy Bates, Oprah Winfrey, Reba McEntire, Robert Redford, Steve Buscemi, Thomas Haden Church",25434224.0
301,Bad News Bears,08/05/2005,Comedy,"Billy Bob Thornton, Carter Jenkins, Greg Kinnear, Marcia Gay Harden",1812341.0
302,Four Brothers,10/07/2005,Action,"Andre Benjamin, Chiwetel Ejiofor, Fionnula Flanagan, Garrett Hedlund, Mark Wahlberg, Taraji P. Henson, Tyrese Gibson",8498469.0
304,Creep,10/27/2006,Horror,"Craig Fackrell, Franka Potente, Jeremy Sheffield, Kelly Scott, Ken Campbell, Paul Rattray, Sean Harris, Vas Blackwood",2420517.0
