,Title,Release.Date,Primary.Genre,Actors,acum_real
310,Poseidon,06/02/2006,Adventure,"Andre Braugher, Emmy Rossum, Freddy Rodriguez, Jacinda Barrett, Jimmy Bennett, Josh Lucas, Kevin Dillon, Kurt Russell, Mary J. Blige, Mia Maestro, Mike Vogel, Richard Dreyfuss",96170223.20000009
311,Superman Returns,07/07/2006,Action,"Brandon Routh, Eva Marie Saint, Frank Langella, James Marsden, Kal Penn, Kate Bosworth, Kevin Spacey, Parker Posey",163408503.6
312,Bee Season,11/18/2005,Drama,"Anna Maria Perez de Tagle, Flora Cross, Juliette Binoche, Kate Bosworth, Max Minghella, Richard Gere",6159702.0
313,Miami Vice,08/04/2006,Action,"Colin Farrell, Gong Li, Jamie Foxx, John Ortiz, Naomie Harris",32725040.0
317,ÐÐ¾ÑÐ½Ð¾Ð¹ Ð´Ð¾Ð·Ð¾Ñ (Nochnoy Dozor),09/09/2005,Horror,"Galina Tyunina, Konstantin Khabenskiy, Maria Poroshina, Vladimir Menshov",10144311.0
318,"Yours, Mine And Ours",04/07/2006,Comedy,"David Koechner, Dennis Quaid, Linda Hunt, Rene Russo, Rip Torn",47857183.0
319,Two For The Money,03/31/2006,Drama,"Al Pacino, Armand Assante, Jaime King, Jeremy Piven, Matthew McConaughey, Rene Russo",10784201.0
320,Shrek The Third,06/15/2007,Animation,"Amy Poehler, Antonio Banderas, Cameron Diaz, Eddie Murphy, John Cleese, John Krasinski, Julie Andrews, Justin Timberlake, Maya Rudolph, Mike Myers, Regis Philbin, Seth Rogen",260365836.99999902
321,Munich,01/27/2006,Suspense,"Ayelet Zorer, CiarÃ¡n Hinds, Daniel Craig, Eric Bana, Geoffrey Rush, Gila Almagor, Hanns Zischler, Hiam Abbas, Marie-JosÃ©e Croze, Mathieu Amalric, Mathieu Kassovitz, Meret Becker, Michael Lonsdale, Moritz Bleibtreu, Oded Teomi, Valeria Bruni Tedeschi, Yvan Attal",32807244.0
322,Darwin's Nightmare,04/07/2006,Documentary,,343916.0
323,Red Eye,09/16/2005,Drama,"Brian Cox, Cillian Murphy, Kyle Gallner, Rachel McAdams",33570352.0
324,Just Like Heaven,12/23/2005,Romantic Comedy,"Ben Shenkman, Dina Waters, Donal Logue, Ivana Milicevic, Jon Heder, Mark Ruffalo, Reese Witherspoon",49041992.999999896
325,All The King's Men,11/02/2006,Drama,"Anthony Hopkins, Glenn Morshower, Jackie Earle Haley, James Gandolfini, Jude Law, Kate Winslet, Mark Ruffalo, Patricia Clarkson, Sean Penn",2433176.0
326,V For Vendetta,03/17/2006,Suspense,"Hugo Weaving, John Hurt, Natalie Portman, Stephen Fry, Stephen Rea",32373612.0
327,Innocent Voices (Voces Inocentes),01/28/2005,Drama,"Carlos Padilla, Daniel GimÃ©nez Cacho, Gustavo MuÃ±oz, Jesus Ochoa, Jose Maria Yazpik, Leonor Varela, Ofelia Medina, Xuna Primus",56040968.9999991
330,Domino,10/21/2005,Action,"Christopher Walken, Edgar Ramirez, Keira Knightley, Liza Lapira, Lucy Liu, Mena Suvari, Mickey Rourke, Tom Waits",2281598.99999999
339,Hustle & Flow,03/03/2006,Drama,"Anthony Anderson, D.J. Qualls, Isaac Hayes, Ludracis, Taraji P. Henson, Terrence Howard",471708.0
340,Joyeux NoÃ«l,05/26/2006,Drama,"Benno FÃ¼rmann, Bernard Le Coq, Daniel BrÃ¼hl, Dany Boon, Diane Kruger, Gary Lewis, Guillaume Canet",2126858.0
341,Happy Feet,12/08/2006,Animation,"Brittany Murphy, Elijah Wood, Hugh Jackman, Hugo Weaving, Kwesi Boakye, Nicole Kidman, Robin Williams",70316336.1
342,Mad Hot Ballroom,12/21/2007,Documentary,,270734.0
343,"Squid And The Whale, The",03/24/2006,Drama,"Alexandra Daddario, Anna Paquin, Jeff Daniels, Jesse Eisenberg, Laura Linney, William Baldwin",488760.0
345,Failure To Launch,03/17/2006,Romantic Comedy,"Bradley Cooper, Justin Bartha, Kathy Bates, Matthew McConaughey, Rob Corddry, Sarah Jessica Parker, Stephen Tobolowsky, Terry Bradshaw, Zooey Deschanel",27334988.0
348,Paradise Now,03/17/2006,Drama,"Ali Suliman, Amer Hlehel, Hiam Abbass, Kais Nashef, Lubna Azabal",885312.9999999991
349,De Battre mon Coeur s'est arrÃªtÃ©,04/12/2007,Drama,"Aure Atika, Emmanuelle Devos, Gilles Cohen, Jonathan ZaccaÃ¯, Linh Dan Pham, MÃ©lanie Laurent, Niels Arestrup, Romain Duris",745521.0
354,Click (2006),08/18/2006,Comedy,"Adam Sandler, Allen Covert, Christopher Walken, David Hasselhoff, Henry Winkler, Jennifer Coolidge, Jonah Hill, Kate Beckinsale, Katie Cassidy, Nick Swardson, Rachel Dratch, Sean Astin",86232630.0000001
355,Talladega Nights: Ballad Of Ricky Bobby,09/29/2006,Comedy,"Amy Adams, Andy Richter, Chris Parnell, David Koechner, Ed Lauter, Elvis Costello, Gary Cole, Jane Lynch, John C. Reilly, Leslie Bibb, Michael Clarke Duncan, Molly Shannon, Sacha Baron Cohen, Will Ferrell",4941632.5
356,Ghost Rider,02/16/2007,Action,"Donal Logue, Eva Mendes, Nicolas Cage, Peter Fonda, Sam Elliott, Wes Bentley",80358319.8
357,Next,08/17/2007,Action,"Enzo Cilenti, Jessica Biel, Julianne Moore, Nicolas Cage, Peter Falk",47222293.999999896
359,"Benchwarmers, The",06/02/2006,Comedy,"Craig Kilborn, David Spade, Doug Jones, Jon Heder, Jon Lovitz, Molly Sims, Nick Swardson, Norm MacDonald, Patrick Schwarzenegger, Rachel Hunter, Rob Schneider",16490452.0
360,"Break-Up, The",06/16/2006,Romantic Comedy,"Geoff Stults, Jason Bateman, Jennifer Aniston, Joey Lauren Adams, John Michael Higgins, Jon Favreau, Judy Davis, Justin Long, Vincent D'Onofrio, Vince Vaughn",53493574.500000104
361,"Family Stone, The",12/23/2005,Comedy,"Brian J. White, Claire Danes, Craig T. Nelson, Dermot Mulroney, Diane Keaton, Luke Wilson, Rachel McAdams, Sarah Jessica Parker",28589714.4
362,Aquamarine,04/28/2006,Comedy,"Arielle Kebbel, Emma Roberts, Jake McDorman, Joanna 'JoJo' Levesque, Sara Paxton",19083035.12
363,Big Momma's House 2,01/27/2006,Comedy,"Chloe Grace Moretz, Elton LeBlanc, Kat Dennings, Kevin Durand, Martin Lawrence, Michelle Parylak, Nia Long",76244136.9999999
364,Lady In The Water,08/18/2006,Drama,"Bob Balaban, Bryce Dallas Howard, Doug Jones, Freddy Rodriguez, Jared Harris, Jeffrey Wright, Jeremy Howard, Jim Gaffigan, Joel Marsh Garland, Mary Beth Hurt, Paul Giamatti, Sarita Choudhury",25690099.69
366,"Bombon, El Perro",04/29/2005,Drama,"Juan Villegas, Kita Ca, Micol EstÃ©vez, Rosa Valsecchi, Walter Donado",945715.000000447
373,Transporter 2,09/16/2005,Action,"Amber Valletta, Hunter Clary, Jason Flemyng, Jason Statham, Jeff Chase",14058432.0
374,Bandidas,02/17/2006,Comedy,"Denis Arndt, Dwight Yoakam, PenÃ©lope Cruz, Salma Hayek, Sam Shepard, Steve Zahn",33218577.29
375,Garfield: A Tail Of Two Kitties,07/28/2006,Comedy,"Bill Murray, Billy Connolly, Bob Hoskins, Breckin Meyer, Jennifer Love Hewitt, Lucy Davis, Rhys Ifans, Tim Curry",51259509.000000104
376,Thumbsucker,05/12/2006,Drama,"Benjamin Bratt, Keanu Reeves, Kelli Garner, Lou Taylor Pucci, Tilda Swinton, Vincent D'Onofrio, Vince Vaughn",1121120.0
377,"White Countess, The",06/09/2006,Drama,"Lynn Redgrave, Natasha Richardson, Ralph Fiennes, Vanessa Redgrave",1179728.0
378,Breakfast On Pluto,05/05/2006,Drama,"Brendan Gleeson, Cillian Murphy, Laurence Kinlan, Liam Neeson, Ruth Negga, Stephen Rea",1306870.0
380,Eragon,12/15/2006,Adventure,"Djimon Hounsou, Edward Speleers, Garrett Hedlund, Gary Lewis, Jeremy Irons, John Malkovich, Rachel Weisz, Robert Carlyle, Sienna Guillory",116088487.25
381,Casino Royale,12/08/2006,Action,"Daniel Craig, Eva Green, Isaach De Bankole, Ivana Milicevic, Jeffrey Wright, Jesper Christensen, Judi Dench, Mads Mikkelsen",71582638.8
382,Requiem,01/18/2008,Drama,"Anna Blomeier, Burghart KlauÃner, Friederike Adolph, Imogen Kogge, Jens Harzer, Nicholas Reinke, Sandra HÃ¼ller, Walter Schmidinger",1689122.0
387,Little Man (2006),09/14/2006,Comedy,"Alex Borstein, Dave Sheridan, Gary Owens, John Witherspoon, Kerry Washington, Marlon Wayans, Molly Shannon, Shawn Wayans, Tracy Morgan",57043898.0
388,One Missed Call,03/20/2008,Horror,"Ana Claudia Talancon, Azura Skye, Edward Burns, Gabriel Byrne, Johnny Lewis, Shannyn Sossamon",33563518.000000104
393,Bee Movie,11/30/2007,Animation,"Barry Levinson, Chris Rock, Jerry Seinfeld, John Goodman, Kathy Bates, Matthew Broderick, Megan Mullally, Patrick Warburton, Ray Liotta, Renee Zellweger, Rip Torn",88418835.0
394,Suzie Gold,03/04/2005,Comedy,"Frances Barber, Jesse Bildner, Kevin Bishop",1986884.99999974
406,Running Scared,12/01/2006,Action,"Cameron Bright, Chazz Palminteri, Ivana Milicevic, John Noble, Johnny Messner, Michael Cudlitz, Paul Walker, Vera Farmiga",1197004.0
418,"Gathering, The (2003)",08/12/2005,Horror,"Christina Ricci, Ioan Gruffudd, Kerry Fox, Simon Russell Beale, Stephan Dillane",30259313.0
420,Killshot,09/04/2009,Action,"Diane Lane, Joseph Gordon-Levitt, Mickey Rourke, Rosario Dawson, Thomas Jane",1778817.0
428,One...The Movie,04/20/2007,Documentary,,341635.0
433,Slither,05/12/2006,Science Fiction,"Dustin Milligan, Elizabeth Banks, Gregg Henry, Michael Rooker, Nathan Fillion, Tania Saulnier",2305011.0
434,Inside Man,03/24/2006,Drama,"Chiwetel Ejiofor, Christopher Plummer, Clive Owen, Denzel Washington, Jodie Foster, Willem Dafoe",38821625.999999896
435,Fast And The Furious: Tokyo Drift,06/30/2006,Action,"Brian Goodman, Brian Tee, Jason Tobin, Lucas Black, Nathalie Kelley, Shad 'Bow Wow' Gregory Moss, Sonny Chiba, Sung Kang",59961795.99999979
437,"Omen, The",06/06/2006,Horror,"David Thewlis, Julia Stiles, Liev Schreiber, Mia Farrow, Michael Gambon",74924846.8000001
438,Children Of Men,11/24/2006,Adventure,"Charlie Hunnam, Chiwetel Ejiofor, Clive Owen, Danny Huston, Julianne Moore, Michael Caine",27366742.0
439,"Good Shepherd, The",03/16/2007,Drama,"Alec Baldwin, Angelina Jolie, Billy Crudup, Eddie Redmayne, Gabriel Macht, Joe Pesci, John Turturro, Matt Damon, Michael Gambon, Robert De Niro, Timothy Hutton",13389268.0
440,Separate Lies,01/13/2006,Drama,"Emily Watson, Rupert Everett, Tom Wilkinson",3811631.99999999
446,When A Stranger Calls,04/28/2006,Horror,"Camilla Belle, Clark Gregg, David Denman, John Bobek, Katie Cassidy, Madeline Carroll, Molly Bryant, Tommy Flanagan",23752263.5
447,Green Street Hooligans,11/25/2005,Drama,"Charlie Hunnam, Claire Forlani, Elijah Wood",6360692.0
448,Al Otro Lado,06/01/2005,Drama,"Adrian Alonso, Adrian Marquez, Alejandro Lago, Carmen Maura, Hector Echemendia, Hector Suarez, Ignacio Guadalupe, Jorge Milo, Martha Higareda, Naoufal Azzouz, Nuria Badih, Ronny Bandomo Casanova, Sanaa Alaoui, Silke, Susana GonzÃ¡lez, Vanessa Bauche",14354164.000000197
449,Di que SÃ­,06/24/2005,Comedy,"Constantino Romero, Paz Vega, Santi MillÃ¡n",2716707.99999997
450,Half Light,07/28/2006,Suspense,"Demi Moore, Hans Matheson, Henry Ian Cusick, James Cosmo, Kate Isitt, Therese Bradley",20240042.0
452,Friends With Money,09/01/2006,Comedy,"Bobby Coleman, Catherine Keener, Frances McDormand, Jason Isaacs, Jennifer Aniston, Joan Cusack, K.C. Clyde",5396192.52
455,"Ant Bully, The",08/04/2006,Animation,"Alan Cumming, Bruce Campbell, Cheri Oteri, Clive Robertson, Julia Roberts, Larry Cedar, Lily Tomlin, Meryl Streep, Myles Jeffrey, Nicolas Cage, Paul Giamatti, Regina King, Ricardo Montalban, Zach Tyler",29515701.0
456,"Kiss Kiss, Bang Bang",10/14/2005,Comedy,"Deanna Dozier, Joel Michaely, Michelle Monaghan, Robert Downey  Jr., Val Kilmer",1207305.0
459,CachÃ©,11/02/2006,Drama,"AÃ¯ssa MaÃ¯ga, Annie Girardot, Bernard Le Coq, Daniel Auteuil, Daniel Duval, Denis PodalydÃ¨s, Juliette Binoche, Lester Makedonsky, Maurice BÃ©nichou, Nathalie Richard, Walid Afkir",372322.0
460,Innocence (2005),04/28/2006,Drama,"Berangere Haubruges, Helene De Fougerolles, Lea Bridarolli, Marion Cotillard, Zoe Auclair",243118.0
461,Little Manhattan,01/06/2006,Romantic Comedy,"Bradley Whitford, Charlie Ray, Cynthia Nixon, Josh Hutcherson",4585554.99999999
463,"Sentinel, The",08/25/2006,Drama,"Christine Baranski, Eva Longoria, Kiefer Sutherland, Kim Basinger, Michael Douglas",41746966.999999896
464,RV,06/09/2006,Comedy,"Alexis Ferris, Cheryl Hines, Jeff Daniels, Josh Hutcherson, Kristin Chenoweth, Matthew Gray Gubler, Robin Williams, Tony Hale, Will Arnett",23770949.0
466,Zivot je cudo,03/11/2005,Comedy,"Aleksandar Bercek, Natasa Solak, Nikola Kojo, Slavko Stimac, Stribor Kusturica, Vesna Trivalic, Vuk Kostic",1043202.99999947
467,Cheaper By The Dozen 2,12/29/2005,Comedy,"Bonnie Hunt, Carmen  Electra, Eugene Levy, Hilary Duff, Piper Perabo, Shawn Roberts, Steve Martin, Taylor Lautner, Tom Welling",73421914.5099998
469,"You, Me And Dupree",09/01/2006,Comedy,"Bill Hader, Kate Hudson, Matt Dillon, Owen Wilson, Seth Rogen",35913167.0
470,Date Movie,03/24/2006,Comedy,"Adam Campbell, Alyson Hannigan, Eddie Griffin, Fred Willard, Jennifer Coolidge",15900922.0
471,Just My Luck,06/23/2006,Comedy,"Bree Turner, Chris Pine, Faizon Love, Lindsay Lohan, Missi Pyle, Samaire Armstrong",38976589.0
477,Iberia,07/21/2006,Documentary,,335168.0
479,"Hills Have Eyes, The",04/13/2006,Horror,"Aaron Stanford, Dan Byrd, Emilie de Ravin, Kathleen Quinlan, Robert Shaw, Ted Levine, Vinessa Shaw",10971493.0
484,"Karol, un uomo diventato Papa",09/22/2006,,"Kaja Bien, Malgosia Bela, Piotr Adamczyk, Toni Bertorelli",12388477.74
488,Gridiron Gang,12/01/2006,Drama,"Dwayne Johnson, Garrett M. Brown, Kevin Dunn, Leon Rippy, L. Scott Caldwell, Omari Hardwick, Xzibit",9704073.5
489,Nacho Libre,08/11/2006,Comedy,"Ana de la Reguera, Carla Jimenez, Carlos Maycotte, Cesar Gonzalez, Darius A. Rose, Diego Eduardo Gomez, Efren Ramirez, Hector Jimenez, Jack Black, Julio Sandoval, Moises Arias, Rafael Montalvo, Richard Montoya",48977229.0
490,"Pursuit Of Happyness, The",02/02/2007,Drama,"Jaden Smith, Thandie Newton, Will Smith",85447029.16
491,Stranger Than Fiction,01/12/2007,Comedy,"Dustin Hoffman, Emma Thompson, Kristin Chenoweth, Maggie Gyllenhaal, Queen Latifah, Tom Hulce, Tony Hale, Will Ferrell",2996597.0
493,"Lake House, The",06/30/2006,Drama,"Christopher Plummer, Dylan Walsh, Keanu Reeves, Lynn Collins, Sandra Bullock, Shohreh Aghdashloo",48696950.499999896
494,Buena Vida Delivery,09/08/2006,Comedy,"Alicia Palmes, Ignacio Toseli, Sofia da Silva",244927.0
496,Running With Scissors,03/09/2007,Comedy,"Alec Baldwin, Annette Bening, Brian Cox, Evan Rachel Wood, Gwyneth Paltrow, Jill Clayburgh, Joseph Fiennes, Jospeh Cross, Kristin Chenoweth, Vanessa Redgrave",427956.0
500,ì¹ì í ê¸ìì¨ (chin-jeol-han geum-ja-ssi),09/14/2006,Drama,"Choi Min-Sik, Lee Yeong-ae",1340673.0
504,Beowulf,11/23/2007,Adventure,"Alison Lohman, Angelina Jolie, Anthony Hopkins, Brendan Gleeson, Costas Mandylor, Crispin Glover, John Malkovich, Ray Winstone, Robin Wright",60934538.0000001
505,World Trade Center,09/15/2006,Drama,"Gregory Jbara, Jay Hernandez, Maggie Gyllenhaal, Maria Bello, Michael Pena, Michael Shannon, Nicholas Turturro, Nicolas Cage, Stephen Dorff, Viola Davis",56764325.1
511,"Three Burials Of Melquiades Estrada, The",02/24/2006,Drama,"Barry Pepper, Barry Tubb, Brent Smiga, Cecilia SuÃ¡rez, Dwight Yoakam, Guillermo Arriaga, Ignacio Guadalupe, Irineo Alvarez, January Jones, Jesse de Luna, Josh Berry, Jourdan Henderson, Julio Cedillo, Levon Helm, Melissa Leo, Mel Rodriguez, Rene Campero, Richard Dillard, Rodger Boyce, Sean Hennigan, Sonny Carl Davis, Tommy Lee Jones, Vanessa Bauche",2966817.0
514,Thank You For Smoking,08/11/2006,Comedy,"Aaron Eckhart, Adam Brody, Cameron Bright, David Koechner, J.K. Simmons, Katie Holmes, Maria Bello, Robert Duvall, Rob Lowe, Sam Elliott, William H. Macy",2107628.0
515,"Good Year, A",12/01/2006,Drama,"Abbie Cornish, Albert Finney, Didier Bourdon, Freddie Highmore, Marion Cotillard, Russell Crowe, Tom Hollander, Valeria Bruni Tedeschi",11277000.0
516,Allegro,08/11/2006,Drama,"Helena Christensen, Henning Moritzen, Ulrich Thomsen",781176.0
517,Pathfinder,03/02/2007,Action,"Clancy Brown, Jay Tavare, Karl Urban, Moon Bloodgood, Ralf Moeller, Russell Means",21709136.24
519,Chasing Ghosts,09/30/2005,Drama,Michael Madsen,1658326.0
522,Habana Blues,10/21/2005,Drama,"Alberto Yoel, Marta Calvo, Roberto Sanmartin, Roger Pera, Yaliene Sierra, Zenia Marabal",585481.999999999
524,"Temps qui reste, Le",04/27/2007,Drama,"Daniel Duval, Jeanne Moreau, Melvil Poupaud, Valeria Bruni Tedeschi",1815638.0
525,Silent Hill,07/07/2006,Horror,"Alice Krige, Deborah Kara Unger, Janet Landgard, Kim Coates, Laurie Holden, Lorry Ayers, Radha Mitchell, Sean Bean",34389804.499999896
531,"Marine, The",05/18/2007,Action,"John Cena, Kelly Carlson, Robert Patrick",4778845.99999999
534,Tiempo de Valientes,09/29/2006,Comedy,"Ernesto ClÃ¡udio, Martin Adjemian, Oscar Ferreiro",414414.0
535,Moartea domnului Lazarescu,01/19/2007,Drama,"Ion Fiscuteanu, Luminita Gheorghiu",183990.0
541,My Super Ex-Girlfriend,08/11/2006,Comedy,"Anna Faris, Eddie Izzard, Luke Wilson, Rainn Wilson, Uma Thurman, Wanda Sykes",23261683.0
544,Firewall,03/03/2006,Drama,"Harrison Ford, Jimmy Bennett, Mary Lynn Rajskub, Paul Bettany, Robert Patrick, Virginia Madsen",34414808.999999896
550,Kinky Boots,09/08/2006,Comedy,"Chiwetel Ejiofor, Jemima Rooper, Joel Edgerton, Josh Cole, Linda Bassett, Nick Frost, Robert Pugh, Sarah-Jane Potts",673139.0
553,United 93,08/18/2006,Drama,"Cheyenne Jackson, Corey Johnson, JJ Johnson, Khalid Abdalla, Lewis Alsamari, Michael J. Reynolds, Polly Adams, Trish Gates",26447616.0
555,American Visa,10/14/2005,Drama,"Alberto Echeverry, Alejandra Lanza, Cacho Mendieta, Claudia Lobo, Demian Bichir, Fred Nunez, Hugo Pozo, Jorge Ortiz, Kate del Castillo, Raul Gomez, Roberto Barberi, Vivian Colombo",14470375.0
557,"Secret Life Of Words, The",01/05/2007,Drama,"Eddie Marsan, Javier Camara, Sarah Polley, Steven Mackintosh, Tim Robbins",1531305.0
561,Hostel,03/17/2006,Horror,"Barbara Nedeljakova, Derek Richardson, Jay Hernandez",17700576.0
567,"Visiting, The x",09/28/2007,Suspense,,21940568.0
569,"Assassination Of Jesse James, The",11/16/2007,Western,,4334444.0
571,"Reaping, The",04/05/2007,Horror,"AnnaSophia Robb, David Morrissey, Hilary Swank, Idris Elba, Lara Grice",64662378.9999999
574,"Robo, El (2005)",09/30/2005,Drama,"Izmir Gallardo, Larick Huerta, Luis Velzquez, Xesar Tena",1026661.0
576,Rosario Tijeras,03/31/2006,Drama,"Flora Martinez, Unax Ugalde",4759089.99999999
577,"Devil Wears Prada, The",09/22/2006,Comedy,"Adrian Grenier, Anne Hathaway, Emily Blunt, Meryl Streep, Rebecca Mader, Simon Baker, Stanley Tucci",59992588.9999999
579,Jackass: Number Two,12/01/2006,Comedy,"Bam Margera, Chris Pontius, Johnny Knoxville",2506485.0
580,Melissa P,06/16/2006,Drama,,1580370.0
581,"Mujer De Mi Hermano, La",11/04/2005,Drama,"Barbara Mori, Bruno Bichir, Christian Meier, Gaby Espino, Manolo Cardona",36106318.0
585,Water (2005),06/01/2007,Drama,"John Abraham, Kulbhushan Kharbanda, Lisa Ray, Raghuvir Yadav, Rishma Malik, Seema Biswas, Vinay Pathak, Waheeda Rehman",3790600.0
587,"Last Kiss, The",11/30/2007,Comedy,"Blythe Danner, Casey Affleck, David Hugh Jones, Eric Christian Olsen, Jacinda Barrett, Lauren Lee Smith, Marley Shelton, Rachel Bilson, Tom Wilkinson, Zach Braff",2765913.0
589,Rocky Balboa,01/12/2007,Drama,"Antonio Tarver, Burt Young, Geraldine Hughes, James Francis Kelly III, Milo Ventimiglia, Sylvester Stallone, Tony Burton",53346609.5
595,Night At The Museum (2006),12/22/2006,Comedy,"Ben Stiller, Bill Cobbs, Carla Gugino, Dick Van Dyke, Kim Raver, Mickey Rooney, Owen Wilson, Paul Rudd, Ricky Gervais, Robin Williams, Steve Coogan",222130650.88
596,Ultraviolet,04/13/2006,Action,"Cameron Bright, Milla Jovovich, Nick Chinlund, William Fichtner",9550113.00000001
599,Yesterday,12/16/2005,Drama,"Camilla Walker, Harriet Lehabe, Kenneth Kambule, Leleti Khumalo, Lihle Mvelase",731108.9999999991
601,Mary (2005),10/19/2007,Drama,"Forest Whitaker, Heather Graham, Juliette Binoche, Marion Cotillard, Matthew Modine, Stefania Rocca",1244613.0
604,What The Bleep?: Down The Rabbit Hole,06/02/2006,Documentary,"Elaine Hendrix, Marlee Matlin, Robert Bailey Jr.",787280.0000000009
606,ÐÐ½ÐµÐ²Ð½Ð¾Ð¹ Ð´Ð¾Ð·Ð¾Ñ (Dnevnoy Dozor),10/05/2007,Action,"Galina Tyunina, Konstantin Khabenskiy, Mariya Poroshina, Viktor Verzhbitskiy, Vladimir Menshov",3741822.00000001
607,Across The Universe,11/16/2007,Musical,"Bono, Eddie Izzard, Evan Rachel Wood, Jim Sturgess, Joe Anderson, Salma Hayek",4412287.0
608,Evan Almighty,08/03/2007,Comedy,"Ed Helms, Jimmy Bennett, John Goodman, John Michael Higgins, Johnny Simmons, Jonah Hill, Lauren Graham, Molly Shannon, Morgan Freeman, Rachael Harris, Steve Carell, Wanda Sykes",62038342.9999999
611,Babel,11/10/2006,Drama,"Brad Pitt, Cate Blanchett, Clifton Collins Jr., Gael GarcÃ­a Bernal, Koji Yakusho, Maggie Castle, Mahima Chaudhry, Shilpa Shetty",80479050.0000001
613,"Black Dahlia, The",12/07/2007,Drama,"Aaron Eckhart, Amy Irving, Hilary Swank, Jemima Rooper, Josh Hartnett, Kevin Dunn, Laura Kightlinger, Mia Kirshner, Mike Starr, Rachel Miner, Rose McGowan, Scarlett Johansson",3931434.0
616,Marebito,02/03/2006,Horror,"Kazuhiro Nakahara, Miho Ninagawa, Shinya Tsukamoto, Shun Sugata, Tomomi Miyashita",276950.0
618,Laitakaupungin Valot,12/16/2008,Drama,"Ilkka Koivula, Janne HyytiÃ¤inen, Maria Heiskanen, Maria JÃ¤rvenhelmi",57372.999999999905
